id,description,description_length,word_count,clean_description,cluster,title
1,"Active classic boxers - There's a reason why our boxers are a cult favorite - they keep their cool, especially in sticky situations. The quick-drying, lightweight underwear takes up minimal space in a travel pack. An exposed, brushed waistband offers next-to-skin softness, five-panel construction with a traditional boxer back for a classic fit, and a functional fly. Made of 3.7-oz 100% recycled polyester with moisture-wicking performance. Inseam (size M) is 4 1/2"". Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Silky Capilene 1 fabric is ultralight, breathable and quick-to-dry""</li> <li>""Exposed, brushed elastic waistband for comfort""</li> <li>5-panel construction with traditional boxer back</li> <li>""Inseam (size M) is 4 1/2""""""</li></ul><br><br><b>Fabric: </b>3.7-oz 100% all-recycled polyester with Gladiodor natural odor control for the garment. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>99 g (3.5 oz)<br><br>Made in Mexico.",1015,131,active classic boxer reason boxer cult favorite cool especially sticky situation quick dry lightweight underwear take minimal space travel pack expose brush waistband offer skin softness panel construction traditional boxer classic fit functional fly recycled polyester moisture wicke performance inseam size recyclable common thread recycle program detail silky capilene fabric ultralight breathable quick dry expose brush elastic waistband comfort panel construction traditional boxer inseam size fabric recycle polyester gladiodor natural odor control garment recyclable common thread recycle program weight mexico,-1,Active classic boxers
2,"Active sport boxer briefs - Skinning up Glory requires enough movement without your boxers deciding to poach their own route. The form-fitting Active Sport Boxer Briefs are made from breathable 93% polyester (71% recycled) fabric that's fast-wicking, dries quickly and has 7% spandex for stretch; the seamless waistband and soft leg edges won't roll or bind. The gusseted, flat-sewn 6"" inseam (size M) is offset to prevent inner-thigh chafe. Fly-free with a smooth front panel. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Stretch mesh provides support, open-weave mesh for airflow, wicks efficiently, dries fast""</li> <li>Seamless construction</li> <li>""Flat-sewn, gusseted inseam is set forward to prevent inner-thigh chafe""</li> <li>Fly-free support</li> <li>""Inseam (size M) is 6""""""</li></ul><br><br><b>Fabric: </b>""4.6-oz 93% polyester (71% recycled)/7% spandex, with moisture-wicking performance. Recyclable through the Common Threads Recycling Program""<br><br><b>Weight: </b>(60 g 2.1 oz)<br><br>Made in Israel.",1062,135,active sport boxer brief skin glory require movement boxer decide poach route form fit active sport boxer brief breathable polyester recycle fabric fast wicke dry quickly spandex stretch seamless waistband soft leg edge roll bind gusseted flat sew inseam size offset prevent inner thigh chafe fly free smooth panel recyclable common thread recycle program detail stretch mesh provide support open weave mesh airflow wick efficiently dry fast seamless construction flat sew gussete inseam set forward prevent inner thigh chafe fly free support inseam size fabric polyester spandex moisture wicke performance recyclable common thread recycle program weight israel,-1,Active sport boxer briefs
3,"Active sport briefs - These superbreathable no-fly briefs are the minimalist's choice for high-octane endeavors. Made from a blend of fast-wicking, quick-drying 93% polyester (71% recycled) and 7% spandex that has both stretch-mesh (for support) and open mesh (for cooling airflow). Soft edging at the leg openings and a seamless waist won't roll or create friction against layers. With a smooth front panel for opacity. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Stretch mesh provides support, open-weave mesh for airflow, wicks efficiently and dries fast""</li> <li>Seamless construction</li> <li>Leg openings have half-inch self-binding for comfort</li> <li>Fly-free support</li></ul><br><br><b>Fabric: </b>""4.6-oz 93% polyester (71% recycled)/7% spandex, with moisture-wicking performance. Recyclable through the Common Threads Recycling Program""<br><br><b>Weight: </b>(49 g 1.7 oz)<br><br>Made in Israel.",954,118,active sport brief superbreathable fly brief minimalist choice high octane endeavor blend fast wicke quick dry polyester recycle spandex stretch mesh support open mesh cool airflow soft edging leg opening seamless waist roll create friction layer smooth panel opacity recyclable common thread recycle program detail stretch mesh provide support open weave mesh airflow wick efficiently dry fast seamless construction leg opening half inch self bind comfort fly free support fabric polyester spandex moisture wicke performance recyclable common thread recycle program weight israel,-1,Active sport briefs
4,"Alpine guide pants - Skin in, climb ice, switch to rock, traverse a knife-edge ridge and boogie back down - these durable, weather-resistant and breathable soft-shell pants keep stride on every mountain endeavor. The midweight stretch-woven polyester won't restrict your moves, and the brushed interior maintains next-to-skin comfort. A 2-way zippered fly keeps things easy with a harness on, and the gusseted, zippered cuffs have 2-position snaps and tie-down loops. With water-resistant zippered pockets: two front, two thigh, one back hip. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Durable stretch-woven polyester (47% recycled) with DWR (durable water repellent) finish is water- and wind-resistant and highly breathable</li> <li>Brushed interior for next-to-skin comfort</li> <li>Waistband has belt loops and elastic on back</li> <li>2-way zippered fly</li> <li>""External pockets: two front slash, two glued-on thigh, one back hip - all with highly water-resistant, DWR-finished zippers""</li> <li>""Gusseted, zippered cuff with 2-position adjustable settings and tie-down loops""</li></ul><br><br><b>Fabric: </b>""7.6-oz 90-denier 92% polyester (47% recycled)/8% spandex, with Deluge DWR finish. Recyclable through the Common Threads Recycling Program""<br><br><b>Weight: </b>(597 g 20.7 oz)<br><br>Made in Vietnam.",1362,174,alpine guide pant skin climb ice switch rock traverse knife edge ridge boogie durable weather resistant breathable soft shell pant stride mountain endeavor midweight stretch weave polyester restrict move brush interior maintain skin comfort way zipper fly keep thing easy harness gussete zippered cuff position snap tie loop water resistant zippered pocket thigh hip recyclable common thread recycle program detail durable stretch weave polyester recycle dwr durable water repellent finish wind resistant highly breathable brush interior skin comfort waistband belt loop elastic way zippered fly external pocket slash glue thigh hip highly water resistant dwr finish zipper gussete zippered cuff position adjustable setting tie loop fabric deni polyester spandex deluge dwr finish recyclable common thread recycle program weight vietnam,0,Alpine guide pants
5,"Alpine wind jkt - On high ridges, steep ice and anything alpine, this jacket serves as a true ""best of all worlds"" staple. It excels as a stand-alone shell for blustery rock climbs, cool-weather trail runs and high-output ski tours. And then, when conditions have you ice and alpine climbing, it functions as a lightly insulated windshirt on the approach, as well as a frictionless midlayer when it's time to bundle up and tie-in. The polyester ripstop shell with a Deluge DWR (durable water repellent) treatment sheds snow and blocks wind, while the smooth, lightly brushed hanging mesh liner wicks moisture, dries fast, and doesn't bind to your baselayers. Superlight stretch-woven underarm panels enhance breathability and allow for unimpaired arm motion, and the two hand pockets close with zippers. A drawcord hem, elastic cuffs, a heat-transfer reflective logo and a regular-coil, center-front zipper with DWR finish round out the features. Updated this season for an improved fit. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Lightweight, breathable polyester ripstop fabric with Deluge DWR (durable water repellent) finish; Slightly brushed polyester-mesh liner wicks moisture and dries fast""</li> <li>""Stretch-woven underarm panels provide breathability, stretch for unimpeded range of motion""</li> <li>DWR finish on center-front zipper</li> <li>Elastic cuffs</li> <li>""Pockets: exterior chest, zippered handwarmers""</li> <li>Drawcord hem</li> <li>Reflective heat-transfer logo</li></ul><br><br><b>Fabric: </b>Shell: 1.3-oz 20-denier 100% polyester ripstop. Panels: 4.6-oz 75-denier 90% all-recycled polyester/10% spandex. Shell and panels have Deluge DWR (durable water repellent) finish. Lining: 100% polyester brushed tricot mesh. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(331 g 11.5 oz)<br><br>Made in China.",1902,255,alpine wind jkt high ridge steep ice alpine jacket serve true good world staple excel stand shell blustery rock climb cool weather trail run high output ski tour condition ice alpine climbing function lightly insulate windshirt approach frictionless midlayer time bundle tie polyester ripstop shell deluge dwr durable water repellent treatment shed snow block wind smooth lightly brush hang mesh liner wick moisture dry fast bind baselayer superlight stretch weave underarm panel enhance breathability allow unimpaired arm motion hand pocket close zipper drawcord hem elastic cuff heat transfer reflective logo regular coil center zipper dwr finish round feature update season improve fit recyclable common thread recycle program detail lightweight breathable polyester ripstop fabric deluge dwr durable water repellent finish slightly brush polyester mesh liner wick moisture dry fast stretch weave underarm panel provide breathability stretch unimpeded range motion dwr finish center zipper elastic cuff pocket exterior chest zippered handwarmer drawcord hem reflective heat transfer logo fabric shell deni polyester ripstop panel deni recycle spandex shell panel deluge dwr durable water repellent finish lining polyester brush tricot mesh recyclable common thread recycle program weight china,1,Alpine wind jkt
6,"Ascensionist jkt - Our most technical soft shell for full-on mountain pursuits strikes the alpinist's balance between protection and minimalism. The dense 2-way-stretch polyester double weave, with stitchless seams, has exceptional water- and wind-resistance, a rapid dry time and superb breathability. Pared-down detailing provides everything you need and nothing more: a 3-way-adjustable, helmet-compatible hood; a reverse-coil center-front zipper with a DWR (durable water repellent) finish; large external handwarmer pockets (with zipper garages) that are placed above the harness-line; an internal security pocket; articulated arms; self-fabic cuff tabs; a drawcord hem. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Dense stretchy polyester double-weave fabric is exceptionally water- and wind-resistant and is spandex-free for fast dry times; Stitch-free, lap-glued seams speed dry time, improve water resistance and decrease bulk""</li> <li>""Helmet-compatible, 3-way-adjustable hood;  brushed chamois patches for chin and neck comfort""</li> <li>DWR-(durable water repellent) finished center-front zipper; external pockets: two handwarmers fit skins and have zipper garages and DWR finish on zippers</li> <li>Internal security pocket</li> <li>Articulated arms</li> <li>""Low-profile, laminated, self-fabric cuff tabs""</li> <li>Drawcord hem</li></ul><br><br><b>Fabric: </b>5.3-oz 100% polyester (45% recycled) double weave with 2-way-stretch and Deluge DWR finish. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(553 g 19.2 oz)<br><br>Made in China.",1627,196,ascensionist jkt technical soft shell mountain pursuit strike alpinist balance protection minimalism dense way stretch polyester double weave stitchless seam exceptional wind resistance rapid dry time superb breathability pare detail provide need way adjustable helmet compatible hood reverse coil center zipper dwr durable water repellent finish large external handwarmer pocket zipper garage place harness line internal security pocket articulated arm self fabic cuff tab drawcord hem recyclable common thread recycle program detail dense stretchy polyester double weave fabric exceptionally wind resistant spandex free fast dry time stitch free lap glue seam speed dry time improve water resistance decrease bulk helmet compatible way adjustable hood brush chamois patch chin neck comfort water repellent finish center zipper external pocket handwarmer fit skin zipper garage dwr finish zipper internal security pocket articulate arm low profile laminate self fabric cuff tab drawcord hem fabric polyester recycle double weave way stretch deluge dwr finish recyclable common thread recycle program weight china,2,Ascensionist jkt
7,"Atom - A multitasker's cloud nine, the Atom plays the part of courier bag, daypack and carry-on. Its teardrop shape provides the support of a daypack by positioning the load behind your shoulder, and the single-strap design makes getting to the goods simple - just spin it around front. The large zippered main pocket has internal zippered mesh and stretch-woven pockets. A convenient zippered pocket on the shoulder strap is lined to protect valuables. Breathable, moisture-moving 3-D spacer mesh pads the shoulder strap and back panel. Made from 150-denier double-weave all-recycled polyester with a polyurethane coating and DWR (durable water repellent) finish.<br><br><b>Details:</b><ul> <li>Atom spins around from back to chest for easy access</li> <li>Main zippered pocket has internal zippered mesh and stretch-woven organizer pockets</li> <li>Small zippered pocket for essentials</li> <li>""Zippered pocket on shoulder strap is lined to protect cell phone, sunglasses, etc""</li> <li>""Teardrop shape positions weight behind the shoulder, easing stress on neck and back""</li> <li>""3-D spacer-mesh on the shoulder strap and back panel wicks moisture, dries quickly and allows air circulation""</li> <li>Waistbelt secures pack to torso</li></ul><br><br><b>Fabric: </b>7.4-oz 150-denier 100% all-recycled polyester double weave. Lining: 3.3-oz 200-denier 100% polyester. Both with polyurethane coating and a DWR (durable water repellent) finish. Shoulder strap: 100% polyester 3-D spacer mesh<br><br><b>Weight: </b>(311 g 10.8 oz)<br><br>Made in Vietnam.",1555,212,atom multitasker cloud atom play courier bag daypack carry teardrop shape provide support daypack position load shoulder single strap design make get good simple spin large zippered main pocket internal zippered mesh stretch weave pocket convenient zippered pocket shoulder strap line protect valuable breathable moisture move spacer mesh pad shoulder strap panel deni double weave recycle polyester polyurethane coating dwr durable water repellent finish detail atom spin chest easy access main zippered pocket internal zippered mesh stretch weave organizer pocket small zippered pocket essential zippered pocket shoulder strap line protect cell phone sunglass etc teardrop shape position weight shoulder ease stress neck spacer mesh shoulder strap panel wick moisture dry quickly allow air circulation waistbelt secure pack torso fabric deni recycle polyester double weave lining deni polyester polyurethane coating dwr durable water repellent finish shoulder strap polyester spacer mesh weight vietnam,3,Atom
8,"Print banded betina btm - Our fullest coverage bottoms, the Betina fits highest across the hips with a slightly scooped, lined front. Made from a blend of 82% nylon/18% spandex.<br><br><b>Details:</b><ul> <li>Fullest coverage bottom</li> <li>""Fits highest across hips, full front and back coverage""</li> <li>Regular rise</li> <li>Improved fabric</li></ul><br><br><b>Fabric: </b>5.6-oz 82% nylon/18% spandex<br><br><b>Weight: </b>(49 g 1.7 oz)<br><br>Made in USA.",462,56,print band betina btm full coverage bottom betina fit highest hip slightly scoop line blend spandex detail full coverage fit high hip coverage regular rise improve fabric fabric spandex weight usa,4,Print banded betina btm
9,"Baby micro d-luxe cardigan - Micro D-Luxe is a heavenly soft fabric with down-to-earth applications. This cardigan is made from a quick-drying, durable 4.6-oz 100% polyester (87% recycled) microdenier fleece that is lightweight and breathable so it can work as a top or midlayer. A wind flap backs the zip front, while the hood has covered-elastic side trim to bundle babies in deep warmth. With slash-style patch pockets, color-coordinating elbow patches and soft self-fabric cuffs. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Soft, microdenier fleece made from 87% recycled polyester is durable and quick-to-dry""</li> <li>Hood stays secure with covered side elastic</li> <li>Inside neck tape for a clean finish</li> <li>Handwarmer patch pockets</li> <li>""Full front zip backed by a wind flap; soft, self-fabric cuffs""</li></ul><br><br><b>Fabric: </b>4.6-oz 100% microdenier polyester (87% recycled) fleece. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(121 g 4.2 oz)<br><br>Made in Costa Rica.",1073,143,baby micro luxe cardigan micro luxe heavenly soft fabric earth application cardigan quick dry durable polyester recycle microdeni fleece lightweight breathable work midlayer wind flap back zip hood cover elastic trim bundle baby deep warmth slash style patch pocket color coordinate elbow patch soft self fabric cuff recyclable common thread recycle program detail soft microdeni fleece recycled polyester durable quick dry hood stay secure cover elastic inside neck tape clean finish handwarmer patch pocket zip back wind flap soft self fabric cuff fabric microdeni polyester recycle fleece recyclable common thread recycle program weight costa rica,-1,Baby micro d
10,"Baby sun bucket hat - This hat goes on when the sun rises above the horizon, and stays on when raindrops start falling. Its made from an ultra-durable 4-ply, 4.2-oz Supplex nylon fabric with a DWR (durable water repellent) finish, and reverses to either a contrasting solid color or print. A soft tuck-away chin strap with a hook-and-loop fastener holds securely without chafing young jawlines. Packs small; easy care.<br><br><b>Details:</b><ul> <li>""Lightweight Supplex nylon is soft, dries fast and packs small; easy care""</li> <li>Brim shields head and neck</li> <li>Chin strap with hook-and-loop fastener can be tucked away when not in use</li> <li>Reversible style with fun print/solid combinations</li> <li>One colorway has print on both sides</li></ul><br><br><b>Fabric: </b>""4-ply, 4.2-oz Supplex nylon with a DWR (durable water repellent) finish""<br><br><b>Weight: </b>(49 g 1.7 oz)<br><br>Made in China.",913,129,baby sun bucket hat hat go sun rise horizon stay raindrop start fall ultra durable ply supplex nylon fabric dwr durable water repellent finish reverse contrast solid color print soft tuck away chin strap hook loop fastener hold securely chafe young jawline pack small easy care detail lightweight supplex nylon soft dry fast pack small easy care brim shield head neck chin strap hook loop fastener tuck away use reversible style fun print solid combination colorway print side fabric ply supplex nylon dwr durable water repellent finish weight china,-1,Baby sun bucket hat
